id,sub_id,work_package_id,indicative_action,indicative_sub_action,work_package_leads,Action Member(s) -- SUPERSEDE,Action Entity(s) -- GET VIA LEADS?,Milestone 1,Milestone 1 Deadline,Milestone Final,Milestone Final - Deadline,tracking_status,action_notes,upcoming_milestone,Delivery Date,work_package_title,workstream_id,Sub-Action,action_lead,Big Ticket,needs_member_state_engagement,intergovernmental_bodies,Scenario for Proposal Advancement,action_status,Legal Consideration/Implication,action_spport,document_paragraph_number,work_package_goal,document_paragraph_text,Scope Definition,un_budgets,action_updates,Milestone 2,Milestone 2 Deadline,FP Specific for WP-Level,action_members,Milestone 3,Milestone 3 Deadline
44,,10,Consider proposals to unify administrative backend support and streamline duplicative agendas without affecting core substantive competencies,,['USG Policy'],"Guy Ryder, USG for Policy, guy.ryder@un.org
","['EOSG (USG Policy)', 'DCO', 'OCHA']",Coordination fora mapped and first draft baseline analytics prepared,2026-01-30,Initial actions prepared for the Secretary-General's consideration,2026-03-31,Finalized,,Initial proposals prepared for the Secretary-General's consideration,2026-03-31,Senior management coordination forums,WS3,,['USG Policy'],True,,,2. Requiring further work,Further work ongoing,,"Kersten Jauer, Deputy Director SPMU, EOSG, jauer@un.org",61.0,Form to follow function,"As a first step, we will consider proposals to unify administrative backend support and streamline duplicative agendas without affecting core substantive competencies.",Identify duplicative administrative functions across senior forums; propose consolidation models that preserve substantive autonomy.,,,,,,,,
88,,20,"Develop action plan to strengthen internal strategic oversight of the UN system division of labour at all levels to ensure effective, efficient programmatic and operational support, building on existing reforms",,['CDC'],"Catherine Pollard, USG DMSPC, pollardc@un.org;
Inger Andersen, ED UNEP, inger.andersen@un.org;
Catherine Russell, ED UNICEF, crussell@unicef.org","['DMSPC', 'UNEP', 'UNICEF', 'EOSG (USG Policy)', 'DOS']",Assessment lead confirmed and TOR developed ,2026-03-30,Findings and Recommendation of the assessment presented to CEB and Member States,2026-09-29,Finalized,Intermediate milestones available,Terms of reference developed and assessment lead proposed for the Secretary-General's consideration,2026-03-30,UN budget / programme management,WS2,,['CDC'],True,,,1. Within SG authority,Further work ongoing,,"Chandramouli Ramanathan, Assistant Secretary-General & Controller, DMSPC, ramanathanc@un.org;
Ligia Noronha, ASG, UNEP, ligia.noronha@un.org;
Hannan Sulieman, Deputy Executive Director, UNICEF, hsulieman@unicef.org;
Arnab Roy, Director, EOSG, roya@un.org;
Christophe Monier, Director, DMSPC, monier@un.org;
Patrick Carey, Director, DOS, careyp@un.org;
Soomi Ro, Director, UNEP, ros@un.org;
Oumar Diallo, Special Assistant to the Chef de Cabinet, EOSG, dialloo@un.org;
Alessandro Susini, Executive Officer, EOSG, susini@un.org;
Kersten Jauer, Deputy Director Strategic Planning Unit, EOSG, jauer@un.org;
Qian Cheng, Finance and Budget Officer, EOSG, qian.cheng@un.org",44.1,Strengthened the division of labour across the United Nations system to deliver greater impact,"10. Strengthen internal strategic oversight of the UN system division of labour at all levels to ensure effective, efficient programmatic and operational support. This builds upon 2018 reform commitments and efforts to strengthen Resident Coordinator system leadership",Propose criteria for how new mandate tasks are allocated based on comparative advantage; improve system-wide coherence in budget planning.,,,Strategic assessment completed,2026-06-29,,,,
49,,22,Host regional peace and development advisers in Regional Commissions ,,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']",Establishing financial and other necessary conditions,2026-03-30,"Hosting of regional PDAs in RECs, financial and other necessary conditions permitting",2026-12-30,Attention to timeline,Review final deadline to ensure checkpoint on impact of action before end of December 2026,Assessment of prerequisite actions prepared for Secretary-General's consideration,2026-03-30,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['GA'],2. Requiring further work,Further work ongoing,GA decision (programme budget) is required.,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Asif Khan, Director Political Affiars, DPPA, khan34@un.org
",66.0,Simplifying access to regional expertise,Regional peace and development advisers will be hosted by Regional Commissions and will support these coordination mechanisms.,,,,,,,,,
22,,2,Align agencies’ responsibilities: FAO/WFP/IFAD on food security ,,['USG OCHA'],"Rania DAGASH-KAMARA, Assistant ED Partnerships and Innovation, rania.dagash@wfp.org","['WFP', 'FAO', 'IFAD', 'OCHA']","RBAs agree on a light, practical approach for more coherent work 			in fragile settings, clarifying complementary roles, choosing 				small number of priority countries",2026-01-30,"In priority contexts, RBAs show clearer alignment in practice, with better sequencing and less duplication, and share a short lessons-learned note to UN80 bodies",2026-08-30,Finalized,,Relevant entities demonstrate clearer alignment in priority settings,2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,2. Requiring further work,Further work ongoing,,"Laura Turner, Deputy Director of Emergency Coordination, WFP, Laura.Turner@wfp.org;
Ms. Lauren Philips, Director of Partnerships and UN Collaboration, lauren.phillips@fao.org;
Mr. Rein Paulsen, Director of the Office of Emergency and Resilience - rein.paulsen@fao.org;
Ron Hartman, Director for Global Engagement, Partnerships and Resource Mobilization, r.hartman@ifad.org;
Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org
",32.0,Maximizing impact,"Agencies are aligning responsibilities: FAO/WFP/IFAD on food security; UNHCR/IOM on joint institutional approaches, incl. route-based programming; UNICEF/WFP/UNHCR/IOM on beneficiary data; WHO/UNICEF/WFP on health and nutrition.",Clarify division of labour in food security across agencies; consolidate overlapping functions; define lead roles and joint protocols.,,,,,,,,
30,,28,"Realign macroeconomic analysis capacities across DESA, UNCTAD, and the Regional Commissions to create a unified single entry point for Member States, anchored in joint mechanisms",,"['USG DESA', 'ES ECA', 'SG UNCTAD']",,,,,,,No submission,,Forthcoming,,Other UN Secretariat development realignments,WS3,,"['USG DESA', 'ES ECA', 'SG UNCTAD']",False,,['GA'],2. Requiring further work,Further work ongoing,GA decision (programme budget) could be required.,,40.0,Unified support to people and planet,"We will realign macroeconomic analysis capacities across DESA, UN Trade and Development (UNCTAD), and the Regional Commissions to create a unified single entry point for Member States, anchored in joint mechanisms.",,,,.,,,,,
94,(a),31,"Implement residual actions from Phase I of the Working Group on Efficiencies, as per Rev. estimates for programme budget 2026 and support account for 25/26, not included in or relevant for WP#14",CAP in New York,"['USG DMSPC', 'USG DOS']","Patrick Carey; Director DOS, careyp@un.org","['DOS', 'DMSPC']",CAP established with initial operating capacity and all Executive Office personnel reporting to DOS,2026-01-31,CAP fully operational,2026-07-31,Finalized,,No longer relevant,,UN Secretariat efficiencies and improvement,WS1,Common administrative platform in New York,"['USG DMSPC', 'USG DOS']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) required.,,,,,,,"Decision taken, as per GA resolution 80/242",,,,,,
4,,24,Integrate the UN Interregional Crime and Justice Research Institute (UNICRI) into the UN Office on Drugs and Crime (UNODC),,"['USG UNODC', 'USG OCT']","John Brandolino, USG UNODC; john.brandolino@un.org; Alexandre Zouev, USG UNOCT, alexandre.zouev@un.org",['UNODC'],Concept note developed,2026-03-31,ECOSOC resolution adopted,2026-07-30,Attention to timeline,UN80 team adjusted milestone 1 due to 31 March due to potential programme budget implications,Concept note on integration submitted to the Secretary-General,2026-04-29,"Drugs, crime, counterterrorism",WS3,,['USG UNODC'],False,True,"['GA', 'ECOSOC']",2. Requiring further work,Further work ongoing,ECOSOC and GA (programme budget) decisions required.,"Candice Welsch, Director for Policy and Public Affairs, UNODC, candice.welsch@un.org   
",18.0,Joined up and networked for lasting impact,"We plan to integrate the UN Interregional Crime and Justice
Research Institute (UNICRI) into the UN Office on Drugs and Crime (UNODC), embedding UNICRI expertise within a global network. The UN Institute for Disarmament Research (UNIDIR) would be integrated into the Office for disarmament Affairs (ODA) so its analysis informs negotiations and field support. In both cases, research independence would be preserved.",,['RB 2027'],,,,,,,
25,,2,Align agencies’ responsibilities: WHO/UNICEF/WFP on health and nutrition,,['USG OCHA'],"Catherine Russell, ED UNICEF, crussell@unicef.org;
Cindy McCain, ED WFP, cindy.mccain@wfp.org
","['UNICEF', 'WFP', 'OCHA', 'WHO']","Dedicated discussion held with relevant agencies, to identify priority areas where roles and responsibilities in health and nutrition emergency response require greater clarity (including health–nutrition interfaces and acute malnutrition response), with initial parameters agreed for complementarity",2026-01-30,"Clearly defined roles and responsibilities for nutrition and health emergencies, developed separately under the respective Clusters, are compiled into concise reference material for field leadership and for Nutrition and Health Cluster partners respectively, with linkages between the two areas clearly described, and with factual observations shared with UN80 bodies",2026-08-30,Finalized,,Cluster-defined roles for health and nutrition emergencies consolidated into practical guidance material,2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,2. Requiring further work,Further work ongoing,,"Ted Chaiban, Deputy Executive Director, UNICEF, tchaiban@unicef.org;
Ilaria Dettori, Director, Nutrition Services, WFP, ilaria.dettori@wfp.org;
Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org

WHO 
",32.0,Maximizing impact,"Agencies are aligning responsibilities: FAO/WFP/IFAD on food security; UNHCR/IOM on joint institutional approaches, incl. route-based programming; UNICEF/WFP/UNHCR/IOM on beneficiary data; WHO/UNICEF/WFP on health and nutrition.","Clarify lead roles, shared standards and delivery pathways for health and nutrition interventions; consolidate overlapping functions.",,,,,,,,
87,,30,Display per-report download counts on UN ODS and UN Digital Library pages for each document,,['CDC'],"Mr. Movses Abelian USG DGACM, abelian@un.org, Ms. Melissa Fleming, USG DGC, melissa.fleming@un.org;
Bernardo Mariano Junior, ASG OICT, bmariano@un.org","['DGACM', 'DGC', 'OICT', 'EOSG (USG Policy)']",Technical feasibility of download counts on ODS and Digital Library confirmed,2026-01-30,"Depending on feasibility, download count solution implemented",2026-03-31,Finalized,,Download count solutions implemented,2026-03-31,SG reports,WS2,,['CDC'],False,,,1. Within SG authority,Further work ongoing,,"Oumar Diallo, Special Assistant to the Chef de Cabinet, EOSG, dialloo@un.org;
Natalia Bondonno, Director, Conference Services DGACM, bondonno@un.org;
Wannes Lint, Intergovernmental Affairs Officer, DGACM, lint@un.org; Kersten Jauer, Deputy-Director Strategic Planning Unit, EOSG, jauer@un.org;
Putu Ustriyana, Programme Management Officer, EOSG, putu.ustriyana@un.org;
Nita Syvaeoja, Associate Expert, EOSG, nita.syvaeoja@un.org;
Melanie Ramjoue, Senior Programme Officer, Partnerships, EOSG, ramjoue@un.org;
Aikaterini Kitidi, Special Assistant, DGC, aikaterini.kitidi@un.org;
Athanasios Giannakopoulos, Chief of Section, Information Management, DGC, thanos.giannakopoulos@un.org;
Christina Goodness, Special Assistant Administration, OICT, goodness@un.org",38.5,Maximized value of meetings and reports and appropriate balance between supporting functions for Member States and direct impact,9. Publish download statistics for all reports to inform further discussions on reporting practices,,,,,,,,,
73,,16,"Unify public UN system statistics in a single, high performing platform with interoperable datasets, modern discovery and reuse, APIs and structured access, AI ready architecture, and a scalable analytics backbone.",,"['USG Policy', 'USG DESA', 'ED UNICEF']","Guy Ryder, USG Policy, guy.ryder@un.org; 
LI Junhua, USG DESA, junhua.li@un.org; 
Catherine Russell, ED UNICEF, crussell@unicef.org","['EOSG (USG Policy)', 'DESA', 'UNICEF', 'ILO', 'ECLAC', 'ECA', 'UNIDO']","Ambition and delivery setup agreed, incl. technological platform recommendation, system-wide leadership commitment for ingestion of existing public UN system data and statistics",2026-02-27,"Refined platform live, providing a single public UN System Data Commons website for data and statistics ingested from 20+ UN system entities (10+ by end of July, another 10+ by mid-September), including recommendations for further scaling",2026-09-14,Finalized,Intermediate milestones available,UN System Data Commons site live with public data and statistics from at least 20+ entities,2026-09-14,Data,WS3,,"['USG Policy', 'USG DESA', 'ED UNICEF']",True,,,2. Requiring further work,Further work ongoing,,"Joao Pedro Azevedo, 
Chief Statistician and Deputy-Director heading the Data-Analytics Section, UNICEF, jpazevedo@unicef.org; 
Shantanu Mukherjee, Director, Economic Analysis and Policy Division, DESA, mukherjee1@un.org; Kersten Jauer, Deputy Director, Strategic Planning Unit, EOSG, jauer@un.org; Wai Min Kwok, Chief of Staff, DESA, kwok@un.org; Talea Von Lupin, Portfolio Manager, EOSG, talea.vonlupin@un.org",94.0,A data commons approach across all pillars,"Hosted by a realigned shared service provider, the Data Commons initiative will connect data and statistics across the UN system into one secure backbone, interoperable by design and efficient by scale. The UN 2.0 team will prepare proposals for the Chief Executives Board at the end of October 2025 on how to guide phased implementation, leveraging the Secretary-General’s Data Strategy and the Technology Accelerator Programme.",,,,"Minimum viable product live, providing a single public UN System Data Commons website with interoperable data ingested from 20+ UN systementities",2026-07-30,,,,
15,,1,Present comprehensive proposal for the reset of peace operations to Member States upon conclusion of the review mandated by the Pact for the Future.,,"['USG DPPA', 'USG DPO']","Rosemary DiCarlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']","Draft of the review of the future of all forms of peace operations, including recommendations on a reset of peace operations, submitted to the Secretary-General",2026-02-15,"Review of the future of peace operations, including recommendations on a reset of peace operations, finalised (final date dependent on SG clearance).",2026-03-31,Finalized,,Draft review of the future of peace operations (requested in GA resolution 79/1) submitted for the Secretary-General's consideration,2026-02-15,Peace operations (task delegation; review),WS3,,"['USG DPPA', 'USG DPO']",True,,,2. Requiring further work,Further work ongoing,,"David Haeri, Director DPET, DPO, haeri@un.org;
Asif Khan, Director PMD, DPPA, khan34@un.org",24.0,Joined up and networked for lasting impact,"On the basis of the Peace Operations Review, a comprehensive proposal for their reset will be presented to Member States upon conclusion of the review mandated by the Pact for the Future.","Deliver a system-wide vision for future peace operations after the Pact review, including mandate focus, structure, footprint, task delegation and regional integration. Provide clear, costed options to Member States.",,,,,"David Haeri, Director DPET, DPO, haeri@un.org",,,
72,,17,Establish a Joint UN System Coordination Mechanism co-led by the UNU Rector and UNITAR Executive Director.,,"['ED UNITAR', 'Rector UNU']","Michelle Gyles-McDonnough, ED UNITAR, GYLES-MCDONNOUGH@unitar.org;
Tshilidzi Marwala, Rector UNU (USG), rector@unu.edu","['UNU', 'UNITAR']",Plan in place setting out scope and key considerations of the knowledge mapping exercise and entities to be engaged,2026-01-30,Blueprint for Joint UN Coordination Mechanism at CEB in May 2026,2026-04-29,Finalized,Intermediate milestones available,Plan in place on scope and key considerations of the system-wide mapping exercise,2026-01-31,Training and research,WS3,,"['ED UNITAR', 'Rector UNU']",True,,,1. Within SG authority,Further work ongoing,,"Jonas Haertle, Chief Office of the Executive Director, UNITAR, jonas.haertle@unitar.org; 
Mihoko Kumamoto, Director Division for Prosperity, UNITAR, mihoko.kumamoto@unitar.org;
Sabine Becker-Thierry, Director, UNU, sabine.becker@unu.edu; 
Francesco Foghetti, Senior Legal Officer, UNU, foghetti@unu.edu",91.0,"Two pillars, one vision","We will systematically link the training and research pillars with each other and with other relevant UN system training and research units to ensure system-wide coherence and avoid duplication. To that end, we will establish a Joint UN System Coordination Mechanism co-led by the UNU Rector and UNITAR Executive Director.",,,,System-wide knowledge mapping (training and research-related) completed.,2026-02-27,,,Draft terms of reference developed.,2026-03-30
27,,4,Conduct a thorough assessment of the benefits of a merger of UNFPA and UN Women and their respective mandates ,,"['DSG', 'ED UNFPA', 'ED UN Women']","Amina Mohammed, DSG, Amina.mohammed@un.org;
Sima Bahous, Executive Director, UN Women sima.bahous@unwomen.org;
Diene Keita, Executive Director, UNFPA, Keita@unfpa.org ","['EOSG (ODSG)', 'UN Women', 'UNFPA']","Strategic merger assessment completed for internal consultations, including risk/benefit considerations",2026-01-30,"By mid-2026, a thorough assessment is provided to Member States for a General Assembly decision",2026-07-30,Finalized,,Initial merger assessment completed for the Secretary-General's consideration,2026-02-28,UNFPA / UN Women,WS3,,"['DSG', 'ED UNFPA', 'ED UN Women']",True,True,['GA'],2. Requiring further work,Further work ongoing,GA decision required.,"Jean Philippe Bernardini, Senior Political Affairs Officer, EOSG, bernardini@un.org; Sam Choritz, Chief of Staff, UNFPA, choritz@unfpa.org; Mohammad Naciri, Chief of Staff, UN Women, mohammad.naciri@unwomen.org",38.0,Unified support to people and planet,We will conduct a thorough assessment of the benefits of a merger of UNFPA and UN Women and their respective mandates to create a unified voice and platform on gender equality and women’s rights.,,['RB 2027'],,,,,,,
57,,13,"Prepare a proposal to ensure that RC/HCs and planning teams simplify Development Cooperation Frameworks, Humanitarian Response Plans, Peacebuilding Strategies and associated needs analyses for relevant settings",,"['USG OCHA', 'DSG']","Amina Mohammed, DSG, amina.mohammed@un.org;
Tom Fletcher, ERC and USG OCHA, fletcher@un.org","['EOSG (ODSG)', 'OCHA', 'DPPA', 'DCO']",Draft of the proposal for simplifying country-level planning process where necessary finalized (ensuring complementarity between the planning frameworks); conducted with PBSO,2026-01-30,Simplified planning process and associated needs analysis system-wide rolled out,2026-07-30,Finalized,,Draft proposal for simplifying country-level planning processes submitted for Secretary-General's consideration,2026-02-28,Shared platform initiative,WS3,,"['USG OCHA', 'DSG']",True,,,1. Within SG authority,Further work ongoing,,"Garry Conille, Special Adviser, DCO, gconille@unicef.org;
Edem Wosornu, Director Crisis Response Division, OCHA, wosornu@un.org;
Jean Philippe Bernardini, Senior Political Affairs Officer, EOSG, Bernardini@un.org 
",72.0,Enabling cross-pillar delivery,"We will prepare a proposal to ensure that RC/HCs and planning teams simplify Development Cooperation Frameworks, Humanitarian Response Plans, Peacebuilding Strategies and associated needs analyses for relevant settings.","Produce model for integrated planning across development, humanitarian and peacebuilding instruments; simplify formats; embed transitions.",,,,,"Garry Conille, Special Adviser, DCO, gconille@unicef.org;
Edem Wosornu, Director Crisis Response Division, OCHA, wosornu@un.org;",,,
75,,16,"Pool the know-how of data analysts, engineers, and scientists to support the UN system, the new hubs, humanitarian clusters, and country teams alike",,"['USG Policy', 'USG DESA', 'ED UNICEF']","Guy Ryder, USG Policy, guy.ryder@un.org; 
LI Junhua, USG DESA, junhua.li@un.org; 
Catherine Russell, ED UNICEF, crussell@unicef.org","['EOSG (USG Policy)', 'DESA', 'UNICEF', 'ILO', 'ECLAC', 'ECA', 'UNIDO']","As part of ambition and delivery setup, initial resource and personnel contributions from UN system entities secured",2026-02-27,"Long-term team in support of UN System Data Commons assembled, and recommendations for 2027 scaling available",2026-09-14,Finalized,,Initial data and statistics capacity contributions identified,2026-02-27,Data,WS3,,"['USG Policy', 'USG DESA', 'ED UNICEF']",True,,,2. Requiring further work,Further work ongoing,,"Joao Pedro Azevedo, 
Chief Statistician and Deputy-Director heading the Data-Analytics Section, UNICEF, jpazevedo@unicef.org; 
Shantanu Mukherjee, Director, Economic Analysis and Policy Division, DESA, mukherjee1@un.org; Kersten Jauer, Deputy Director, Strategic Planning Unit, EOSG, jauer@un.org; Wai Min Kwok, Chief of Staff, DESA, kwok@un.org; Talea Von Lupin, Portfolio Manager, EOSG, talea.vonlupin@un.org",96.0,A data commons approach across all pillars,"The Data Commons approach will pool the know-how of data analysts, engineers, and scientists to support the UN system, the new hubs, humanitarian clusters, and country teams alike, including the provision of highly specialized expertise on demand.",,,,,,"Joao Pedro Azevedo, <br>Chief Statistician and Deputy-Director heading the Data-Analytics Section, UNICEF, jpazevedo@unicef.org",,,
82,,29,Develop tools to assist in research for mandate creation,,['USG Policy'],"Library NY, Global Pulse",['EOSG (USG Policy)'],"Potential approaches consulted with stakeholders via technical briefings and surveys, systemchart.un.org launched, and open.un.org updated",2026-03-15,"Improved portfolio of tools to support Member States across the mandate lifecycle available, including to provide consolidated, timely, and comparable information on mandates, resources, activities, and results across the UN system",2026-09-15,Finalized,,First set of digital tools launched and technical briefings for delegates set up ,2026-03-15,Mandate registries and tools,WS2,,['USG Policy'],False,,,1. Within SG authority,Further work ongoing,,,23.4,"Improved visibility, coordination and support for Member States during mandate creation","4. Develop tools using artificial intelligence to assist with mandate drafting, including by producing summarized information to enable Member States’ decision-making, flagging potential complementarities or duplications in draft texts or meeting agendas across mandating bodies",,,,,,,,,
9,,22,Streamline and align the UN Office for Central Africa (UNOCA) and the Office of the Special Envoy for the Great Lakes,,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Martha Pobee, ASG DPPA-DPO, martha.pobee@un.org","['DPPA', 'DPO']",Relevant Security Council consultations/decisions,2026-03-30,Revised budget for and implementation of integration,2026-12-30,Attention to timeline,Review final deadline to ensure checkpoint on impact of action before end of December 2026,Forthcoming,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['SC'],2. Requiring further work,Further work ongoing,Exchange of letters between SG and PSC required.,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
OASG Africa",20.0,Joined up and networked for lasting impact,Streamline and align the UN Office for Central Africa (UNOCA) and the Office of the Special Envoy for the Great Lakes.,,['RB 2026 Rev'],,,,,,,
36,,6,"Establish a system-wide working group, chaired by the Deputy Secretary-General, to develop proposals on how to advance a reset of regional capacities for sustainable development, incl. on how to institutionalize Regional Integrated Platforms",,['DSG'],"Amina J. Mohammed, DSG, Amina.mohammed@un.org;
Izumi Nakamitsu, USG ODA, nakamitsu@un.org
","['EOSG (ODSG)', 'ODA', 'UNSDG']",System-wide working group convened and draft outline finalized and shared with the Secretary-General for guidance,2026-01-31,All aspects of the regional reset under SG prerogative implemented and proposals presented to Member States on aspects requiring new mandates ,2026-08-29,Finalized,,System-wide working group convened and proposal for a regional reset of capacities for sustainable development and institutionalization of Regional Integrated Platforms shared with the Secretary-General for his consideration,2026-03-31,Regional reset,WS3,,['DSG'],True,,,1. Within SG authority,Further work ongoing,,"Jean Philippe Bernardini, Senior Political Affairs Officer, EOSG, bernardini@un.org",50.0,Integrated regional support for stronger delivery,"We will establish a system-wide working group, chaired by the Deputy Secretary-General, to develop proposals on how to advance a reset of regional capacities for sustainable development, with actionable recommendations to the Secretary-General. The group will also propose how to institutionalize Regional Integrated Platforms (see paragraphs 65-66 for more details on these platforms).",,,,,,,,,
3,,22,"Establish mechanisms – including joint strategies and programmes – to link cross-cutting functions (incl. expertise in data analytics, digital and artificial intelligence)",,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']","Discussions and clarification on mechanisms, including joint strategies and programmes, to link cross-cutting functions ",2026-03-30,Clear division of labour and joint mechanisms,2026-12-30,Attention to timeline,Review final deadline to ensure checkpoint on impact of action before end of December 2026,Proposal prepared for the Secretary-General's consideration,2026-03-30,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,,,2. Requiring further work,Further work ongoing,,"Asif Khan, Director, DPPA, khan34@un.org;
David Haeri, Director, DPO, haeri@un.org;
Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Marco Bianchini, Principal Political Affairs Officer, DPO, bianchinim@un.org
",17.0,Joined up and networked for lasting impact,"To avoid duplication, we will establish mechanisms – including joint strategies and programmes – to link cross-cutting functions.",,,,,,"David Haeri, Director, DPO, haeri@un.org",,,
86,,30,Constitute a cross-departmental working group to develop an action plan for improvements in reporting format options for different types of information requests,,['CDC'],"Mr. Movses Abelian USG DGACM, abelian@un.org;
Mr. Li Junhua, USG DESA, junhua.li@un.org;
Ms. Rosemary A. DiCarlo, USG DPPA, rosemary.dicarlo@un.org;
Mr. Jean-Pierre 
Lacroix, USG DPO, jean-pierre.lacroix@un.org;
Ms. Ilze Brands Kehris, ASG OHCHR, ilze.brandskehris@un.org","['DGACM', 'DESA', 'DPPA', 'DPO', 'OHCHR', 'EOSG (USG Policy)']",Interim guidelines on reporting format options for different types of information requests endorsed,2026-04-30,"Full guidelines on reporting format options for different types of information requests issued, in line with the outcome of UN80 Initiative workstream 2",2026-09-15,Finalized,,Draft action plan prepared for the Secretary-General's consideration,2026-04-30,SG reports,WS2,,['CDC'],False,,,1. Within SG authority,Further work ongoing,,"Oumar Diallo, Special Assistant to the Chef de Cabinet, EOSG, dialloo@un.org;
Claudia Banz, Director, Political Affairs, banz@un.org;
Natalia Bondonno, Director, Conference Services DGACM, bondonno@un.org;
Wai Min Kwok, Principal Programme Management Officer DESA, kwok@un.org;
Mariana Olivera West, Chief of Service Human Rights OHCHR, mariana.oliverawest@un.org;
Masud Rana, Chief of Section, DGACM, rana@un.org;
Wannes Lint, Intergovernmental Affairs Officer, DGACM, lint@un.org; James Sutterlin, Chief of Service Political Affairs, DPPA, sutterlin@un.org;
Hussein Elshaar, Senior Programme Management Officer, el-shaar@un.org;
Kersten Jauer, Deputy-Director Strategic Planning Unit, EOSG, jauer@un.org;
Putu Ustriyana, Programme Management Officer, EOSG, putu.ustriyana@un.org;
Nita Syvaeoja, Associate Expert, EOSG, nita.syvaeoja@un.org;
Melanie Ramjoue, Senior Programme Officer, Partnerships, EOSG, ramjoue@un.org",38.4,Maximized value of meetings and reports and appropriate balance between supporting functions for Member States and direct impact,"8. Introduce different report formats based on needs and content type; first reports could be longer followed by shorter updates, visual dashboards, in-person briefings or other formats",,,,,,,,,
85,,30,"Assess trends and patterns in report overlap and fragmentation, and develop an action plan for improvement (as part of item 86)",,['CDC'],"Mr. Movses Abelian USG DGACM, abelian@un.org;
Mr. Li Junhua, USG DESA, junhua.li@un.org;
Ms. Rosemary A. DiCarlo, USG DPPA, rosemary.dicarlo@un.org;
Mr. Jean-Pierre 
Lacroix, USG DPO, jean-pierre.lacroix@un.org;
Ms. Ilze Brands Kehris, ASG OHCHR, ilze.brandskehris@un.org","['DGACM', 'DESA', 'DPPA', 'DPO', 'OHCHR', 'EOSG (USG Policy)']",A survey to identify reports/notes that could potentially be consolidated or have their reporting frequency adjusted conducted,2026-01-30,"Building on the outcome of workstream 2, first action plan implemented to reduce/improve overlap, fragmentation and periodicity of reporting",2026-06-29,Finalized,,Assessment and potential actions finalized for the Secretary-General's consideration,2026-01-03,SG reports,WS2,,['CDC'],False,,,1. Within SG authority,Further work ongoing,,"Oumar Diallo, Special Assistant to the Chef de Cabinet, EOSG, dialloo@un.org;
Claudia Banz, Director, Political Affairs, banz@un.org;
Natalia Bondonno, Director, Conference Services DGACM, bondonno@un.org;
Wai Min Kwok, Principal Programme Management Officer DESA, kwok@un.org;
Mariana Olivera West, Chief of Service Human Rights OHCHR, mariana.oliverawest@un.org;
Masud Rana, Chief of Section, DGACM, rana@un.org;
Wannes Lint, Intergovernmental Affairs Officer, DGACM, lint@un.org; James Sutterlin, Chief of Service Political Affairs, DPPA, sutterlin@un.org;
Hussein Elshaar, Senior Programme Management Officer, el-shaar@un.org;
Kersten Jauer, Deputy-Director Strategic Planning Unit, EOSG, jauer@un.org;
Putu Ustriyana, Programme Management Officer, EOSG, putu.ustriyana@un.org;
Nita Syvaeoja, Associate Expert, EOSG, nita.syvaeoja@un.org;
Melanie Ramjoue, Senior Programme Officer, Partnerships, EOSG, ramjoue@un.org",38.3,Maximized value of meetings and reports and appropriate balance between supporting functions for Member States and direct impact,7. Combine reports covering similar issues and contexts wherever feasible,,,,,,,,,
